_MSSubClass,_MSZoning,_LotFrontage,_LotArea,_Street,_Alley,_LotShape,_LandContour,_LandContour_IsFlat,_Utilities,_LotConfig,_LandSlope,_Neighborhood,_Condition_Artery,_Condition_Feedr,_Condition_Norm,_Condition_RRNn,_Condition_RRAn,_Condition_PosN,_Condition_PosA,_Condition_RRNe,_Condition_RRAe,_BldgType,_HouseStyle,_OverallQual,_OverallCond,_YearBuilt,_YearRemodAdd,_BuildingAge,_YearsFromRemod,_RoofStyle,_RoofMatl,_Exterior_AsbShng,_Exterior_AsphShn,_Exterior_BrkComm,_Exterior_BrkFace,_Exterior_CBlock,_Exterior_CemntBd,_Exterior_HdBoard,_Exterior_ImStucc,_Exterior_MetalSd,_Exterior_Plywood,_Exterior_Other,_Exterior_Stone,_Exterior_Stucco,_Exterior_VinylSd,_Exterior_WdSdng,_Exterior_WdShing,_MasVnrType_BrkCmn,_MasVnrType_BrkFace,_MasVnrType_CBlock,_MasVnrType_Stone,_MasVnrArea,_ExterQual,_ExterCond,_Foundation,_BsmtQual,_BsmtCond,_BsmtExposure,_BsmtFinType1,_BsmtFinSF1,_BsmtFinType2,_BsmtFinSF2,_BsmtUnfSF,_TotalBsmtSF,_Heating,_HeatingQC,_CentralAir,_Electrical,_1stFlrSF,_2ndFlrSF,_LowQualFinSF,_GrLivArea,_BsmtFullBath,_BsmtHalfBath,_FullBath,_HalfBath,_BedroomAbvGr,_KitchenAbvGr,_KitchenQual,_TotRmsAbvGrd,_Functional,_Fireplaces,_FireplaceQu,_GarageType_2Types,_GarageType_Attchd,_GarageType_Basment,_GarageType_BuiltIn,_GarageType_CarPort,_GarageType_Detchd,_GarageYrBlt,_GarageAge,_GarageFinish,_GarageCars,_GarageArea,_GarageQual,_GarageCond,_PavedDrive,_WoodDeckSF,_OpenPorchSF,_EnclosedPorch,_3SsnPorch,_ScreenPorch,_PoolArea,_PoolQC,_Fence,_MiscFeature_Elev,_MiscFeature_Gar2,_MiscFeature_Shed,_MiscFeature_TenC,_MiscVal,_MoSold,_QuarterSold,_YrSold,_SaleType_WD,_SaleType_CWD,_SaleType_VWD,_SaleType_New,_SaleType_COD,_SaleType_Con,_SaleType_ConLw,_SaleType_ConLI,_SaleType_ConLD,_SaleCondition_Normal,_SaleCondition_Abnorml,_SaleCondition_AdjLand,_SaleCondition_Alloca,_SaleCondition_Family,_SaleCondition_Partial,Id,SalePrice
60_,RL,65.0,8450.0,1.0,0.0,3.0,Lvl,1,3.0,Inside,2.0,CollgCr,0,0,1,0,0,0,0,0,0,1Fam,2Story,7.0,5.0,2003.0,2003.0,5,5,Gable,CompShg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,196.0,3.0,2.0,PConc,4,3,1,6,706.0,1,0.0,150.0,856.0,GasA,4.0,1,4.0,856.0,854.0,0.0,1710.0,1.0,0.0,2.0,1.0,3.0,1.0,3.0,8.0,7.0,0.0,0,0,1,0,0,0,0,2003.0,5.0,2,2,548,3,3,2.0,0,61,0,0,0,0,0,0,0,0,0,0,0,2.0,1.0,2008.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,208500
20_,RL,80.0,9600.0,1.0,0.0,3.0,Lvl,1,3.0,Rare,2.0,Rare,0,1,1,0,0,0,0,0,0,1Fam,1Story,6.0,8.0,1976.0,1976.0,31,31,Gable,CompShg,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,2.0,CBlock,4,3,4,5,978.0,1,0.0,284.0,1262.0,GasA,4.0,1,4.0,1262.0,0.0,0.0,1262.0,0.0,1.0,2.0,0.0,3.0,1.0,2.0,6.0,7.0,1.0,2,0,1,0,0,0,0,1976.0,31.0,2,2,460,3,3,2.0,298,0,0,0,0,0,0,0,0,0,0,0,0,5.0,2.0,2007.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,181500
60_,RL,68.0,11250.0,1.0,0.0,2.0,Lvl,1,3.0,Inside,2.0,CollgCr,0,0,1,0,0,0,0,0,0,1Fam,2Story,7.0,5.0,2001.0,2002.0,7,6,Gable,CompShg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,162.0,3.0,2.0,PConc,4,3,2,6,486.0,1,0.0,434.0,920.0,GasA,4.0,1,4.0,920.0,866.0,0.0,1786.0,1.0,0.0,2.0,1.0,3.0,1.0,3.0,6.0,7.0,1.0,2,0,1,0,0,0,0,2001.0,7.0,2,2,608,3,3,2.0,0,42,0,0,0,0,0,0,0,0,0,0,0,9.0,3.0,2008.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,223500
Rare,RL,60.0,9550.0,1.0,0.0,2.0,Lvl,1,3.0,Corner,2.0,Rare,0,0,1,0,0,0,0,0,0,1Fam,2Story,7.0,5.0,1915.0,1970.0,91,36,Gable,CompShg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,2.0,2.0,BrkTil,3,4,1,5,216.0,1,0.0,540.0,756.0,GasA,3.0,1,4.0,961.0,756.0,0.0,1717.0,1.0,0.0,1.0,0.0,3.0,1.0,3.0,7.0,7.0,1.0,3,0,0,0,0,0,1,1998.0,8.0,1,3,642,3,3,2.0,0,35,272,0,0,0,0,0,0,0,0,0,0,2.0,1.0,2006.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,140000
60_,RL,84.0,14260.0,1.0,0.0,2.0,Lvl,1,3.0,Rare,2.0,Rare,0,0,1,0,0,0,0,0,0,1Fam,2Story,8.0,5.0,2000.0,2000.0,8,8,Gable,CompShg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,350.0,3.0,2.0,PConc,4,3,3,6,655.0,1,0.0,490.0,1145.0,GasA,4.0,1,4.0,1145.0,1053.0,0.0,2198.0,1.0,0.0,2.0,1.0,4.0,1.0,3.0,9.0,7.0,1.0,2,0,1,0,0,0,0,2000.0,8.0,2,3,836,3,3,2.0,192,84,0,0,0,0,0,0,0,0,0,0,0,12.0,4.0,2008.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,250000
50_,RL,85.0,14115.0,1.0,0.0,2.0,Lvl,1,3.0,Inside,2.0,Rare,0,0,1,0,0,0,0,0,0,1Fam,1.5Fin,5.0,5.0,1993.0,1995.0,16,14,Gable,CompShg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,2.0,2.0,Rare,4,3,1,6,732.0,1,0.0,64.0,796.0,GasA,4.0,1,4.0,796.0,566.0,0.0,1362.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,5.0,7.0,0.0,0,0,1,0,0,0,0,1993.0,16.0,1,2,480,3,3,2.0,40,30,0,320,0,0,0,3,0,0,1,0,700,10.0,4.0,2009.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,143000
20_,RL,75.0,10084.0,1.0,0.0,3.0,Lvl,1,3.0,Inside,2.0,Somerst,0,0,1,0,0,0,0,0,0,1Fam,1Story,8.0,5.0,2004.0,2005.0,3,2,Gable,CompShg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,186.0,3.0,2.0,PConc,5,3,3,6,1369.0,1,0.0,317.0,1686.0,GasA,4.0,1,4.0,1694.0,0.0,0.0,1694.0,1.0,0.0,2.0,0.0,3.0,1.0,3.0,7.0,7.0,1.0,3,0,1,0,0,0,0,2004.0,3.0,2,2,636,3,3,2.0,255,57,0,0,0,0,0,0,0,0,0,0,0,8.0,3.0,2007.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,307000
60_,RL,,10382.0,1.0,0.0,2.0,Lvl,1,3.0,Corner,2.0,NWAmes,0,0,1,0,0,1,0,0,0,1Fam,2Story,7.0,6.0,1973.0,1973.0,36,36,Gable,CompShg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,240.0,2.0,2.0,CBlock,4,3,2,5,859.0,4,32.0,216.0,1107.0,GasA,4.0,1,4.0,1107.0,983.0,0.0,2090.0,1.0,0.0,2.0,1.0,3.0,1.0,2.0,7.0,7.0,2.0,2,0,1,0,0,0,0,1973.0,36.0,2,2,484,3,3,2.0,235,204,228,0,0,0,0,0,0,0,1,0,350,11.0,4.0,2009.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,200000
50_,RM,51.0,6120.0,1.0,0.0,3.0,Lvl,1,3.0,Inside,2.0,OldTown,1,0,1,0,0,0,0,0,0,1Fam,1.5Fin,7.0,5.0,1931.0,1950.0,77,58,Gable,CompShg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,2.0,BrkTil,3,3,1,1,0.0,1,0.0,952.0,952.0,GasA,3.0,1,2.0,1022.0,752.0,0.0,1774.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,8.0,6.0,2.0,2,0,0,0,0,0,1,1931.0,77.0,1,2,468,2,3,2.0,90,0,205,0,0,0,0,0,0,0,0,0,0,4.0,2.0,2008.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,129900
Rare,RL,50.0,7420.0,1.0,0.0,3.0,Lvl,1,3.0,Corner,2.0,Rare,1,0,0,0,0,0,0,0,0,Rare,Rare,5.0,6.0,1939.0,1950.0,69,58,Gable,CompShg,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,2.0,BrkTil,3,3,1,6,851.0,1,0.0,140.0,991.0,GasA,4.0,1,4.0,1077.0,0.0,0.0,1077.0,1.0,0.0,1.0,0.0,2.0,2.0,2.0,5.0,7.0,2.0,2,0,1,0,0,0,0,1939.0,69.0,2,1,205,4,3,2.0,0,4,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,2008.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,118000
